Metadaten,INVNR,OBJEKT,BEZEICHNUNG,INHALT_DARGESTELLT,MATERIAL,TECHNIK,MASZE,Thema,AUFSCHRIFT_MERKMALE,SP,Th,B,S,Rac,Dmpf,L,Mich,Raf,HK,DC,Rf,T,publiziert_in_Publikation,vorgesehen_zur_Publikation,REFERENT_Eigenschaft_1,REFERENT_Typ_1,QUELLE_Beziehung_REFERENT_1,REFERENT_Zeit_1,REFERENT_Ort_1,REFERENT_Bezeichnung_1,REFERENT_Eigenschaft_2,REFERENT_Typ_2,QUELLE_Beziehung_REFERENT_2,REFERENT_Zeit_2,REFERENT_Ort_2,REFERENT_Bezeichnung_2,REFERENT_Eigenschaft_3,REFERENT_Typ_3,QUELLE_Beziehung_REFERENT_3,REFERENT_Zeit_3,REFERENT_Ort_3,REFERENT_Bezeichnung_3,REFERENT_Eigenschaft_4,REFERENT_Typ_4,QUELLE_Beziehung_REFERENT_4,REFERENT_Zeit_4,REFRENT_Ort_4,REFERENT_Bezeichnung_4,REFERENT_Eigenschaft_5,REFERENT_Typ_5,QUELLE_Beziehung_REFERENT_5,REFERENT_Zeit_5,REFERENT_Ort_5,REFERENT_Bezeichnung_5,REFERENT_Eigenschaft_6,REFERENT_Typ_6,QUELLE_Beziehung_REFERENT_6,REFERENT_Zeit_6,REFERENT_Ort_6,REFERENT_Bezeichnung_6,REFERENT_Eigenschaft_7,REFERENT_Typ_7,QUELLE_Beziehung_REFERENT_7,REFERENT_Zeit_7,REFERENT_Ort_7,REFERENT_Bezeichnung_7,REFERENT_Eigenschaft_8,REFERENT_Typ_8,QUELLE_Beziehung_REFERENT_8,REFERENT_Zeit_8,REFERENT_Ort_8,REFERENT_Bezeichnung_8,REFERENT_Eigenschaft_9,REFERENT_Typ_9,QUELLE_Beziehung_REFERENT_9,REFERENT_Zeit_9,REFERENT_Ort_9,REFERENT_Bezeichnung_9,REFERENT_Eigenschaft_10,REFERENT_Typ_10,QUELLE_Beziehung_REFERENT_10,REFERENT_Zeit_10,REFERENT_Ort_10,REFERENT_Bezeichnung_10,REFERENT_Eigenschaft_11,REFERENT_Typ_11,QUELLE_Beziehung_REFERENT_11,REFERENT_Zeit_11,REFERENT_Ort_11,REFERENT_Bezeichnung_11,,,,,,,AUDIO Text,,,,,
139,VII.K.6.a,Blatt,Blatt: Thesaurus Matierial (Geymüller-Notizen) [Aufschrift Egger] | o. Aufschrift | Royal Institute 1887. Burges,Text; Beschriftung,1 Blatt Papier,Schreibfeder; Bleistift (grau),99 x 131 mm,,Beschriftung [Handschrift: Verfasser unbekannt],,x,,,,,,,,,,,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Publikation,betreffend,,NULL,La Pazzaja; Giorgio (1727): Libro D'Aritmetica E Geometria.,materiell,Person,betreffend,,NULL,Del Badia; Jodoco ,materiell,Artefakt,betreffend,,Firenze,Palazzo Grifoni (San Miniato) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,VII.K.6.a,Blatt,Blatt: Thesaurus Matierial (Geymüller-Notizen) [Aufschrift Egger] | o. Aufschrift | Royal Institute 1887. Burges,Text,1 Blatt Papier,Schreibfeder,122 x 203 mm,,,,x,,,,,,,,,,,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Person,betreffend,,NULL,Bramantino; Bartolomeo Suardi,materiell,Artefakt,betreffend,,Milano,Biblioteca Ambrogiana (Milano),immateriell,Korrespondenz,betreffend,,NULL,Luca Beltrami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,VII.K.6.a,Blatt,Blatt: Thesaurus Matierial (Geymüller-Notizen) [Aufschrift Egger] | o. Aufschrift | Royal Institute 1887. Burges,Text,1 Blatt Papier,Schreibfeder,250 x 200 mm,,gefalten,,x,,,,,,,,,,,,,,materiell,Person,verfasst,4. Août (August) 1886,Amsterdam,Joseph [...] [?],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,VII.K.6.a,Blatt aus Skizzenbuch,Blatt: Thesaurus Matierial (Geymüller-Notizen) [Aufschrift Egger] | o. Aufschrift | Royal Institute 1887. Burges,Text,1 Blatt Papier,Schreibfeder,125 x 205 mm,,Abrisskante links,,x,,,,,,,,,,,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Person ,betreffend,,NULL,Doudemant (Bibliothekar),materiell,Organisation,betreffend,,NULL,Collection Kajmais; Collection Van Parijs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,VII.K.6.a,Blatt aus Skizzenbuch,Blatt: Thesaurus Matierial (Geymüller-Notizen) [Aufschrift Egger] | o. Aufschrift | Royal Institute 1887. Burges,Text,1 Blatt Papier,Bleistift (grau),123 x 204 mm,,Abrisskante links,,x,,,,,,,,,,,,,,materiell,Person,verfasst,1886,NULL,Heinrich von Geymüller,materiell,Organisation,betreffend,,Bruxelles,Collection Schoy (129),materiell,Person,betreffend,07. 1886,Bruxelles,M. Wanlers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,VII.K.6.a,Blatt aus Skizzenbuch,Blatt: Thesaurus Matierial (Geymüller-Notizen) [Aufschrift Egger] | o. Aufschrift | Royal Institute 1887. Burges,Text,1 Blatt Papier,Bleistift (grau),125 x 204 mm,,Abrisskante links,,x,,,,,,,,,,,,,,materiell,Person,verfasst,1886,NULL,Heinrich von Geymüller,materiell,Organisation,betreffend,,Amsterdam,Collection Publ. de Dessins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,VII.K.6.a,Blatt aus Skizzenbuch,Blatt: Thesaurus Matierial (Geymüller-Notizen) [Aufschrift Egger] | o. Aufschrift | Royal Institute 1887. Burges,Text,1 Blatt Papier,Bleistift (grau),123 x 204 mm,,Abrisskante links,,x,,,,,,,,,,,,,,materiell,Person,verfasst,1886,NULL,Heinrich von Geymüller,materiell,Person ,betreffend,,Amsterdam,M. Willet ,materiell,Organisation,betreffend,,Amsterdam,Collection Dessin d'antiquiles,materiell,Person,betreffend,,Rotterdam,Havercorn de Rysewyk <P. Haverkorn van Rysewyk>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,VII.K.6.a,Zeitungsausschnitt,Blatt: Thesaurus Matierial (Geymüller-Notizen) [Aufschrift Egger] | o. Aufschrift | Royal Institute 1887. Burges,Texte; Beschriftung; Markierung (blau),1 Blatt Papier,Druck; Schreibfeder; Bleistift (blau),125 x 194 mm,,zusammen geklebt,,x,,,,,,,,,,,,,,materiell,Publikation,wiedergebend,04.04.1897,Basel,Sonntagsbeilage der Allgemeine Schweizer Zeitung <Basler Nachrichten>,immateriell,Entwurfsidee,betreffend,,Ulmer Münster (Ulm),Turm,materiell,Person,betreffend,,Ulm,Syrlin; Jörg <der Jüngere>,materiell,Archivquelle,betreffend,,Öffentliche Bibliothek (Stuttgart),Plan; Jörg Syrlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,VII.K.6.a,Blatt ,Blatt: Thesaurus Matierial (Geymüller-Notizen) [Aufschrift Egger] | o. Aufschrift | Royal Institute 1887. Burges,Text,1 Blatt Papier,Schreibfeder,67 x 102 mm,,,,x,,,,,,,,,,,,,,materiell,Person,verfasst,1888,NULL,Heinrich von Geymüller,materiell,Artefakte,betreffend,,Berlin,Zeichnungen (2000 Blatt),materiell,Organisation,betreffend,,Berlin,Kunstgewerbe-Museum (Berlin),materiell,Person,betreffend,,NULL,Borromino; Francesco,immateriell,Forschungsthema,behandelnd,1893,NULL,Thesaurus; Architektur in Gemälden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,VII.K.6.a,Blatt aus Skizzenbuch,Blatt: Thesaurus Matierial (Geymüller-Notizen) [Aufschrift Egger] | o. Aufschrift | Royal Institute 1887. Burges,Text,1 Blatt Papier,Bleistift (grau),120 x 123 mm,,Abrisskante links; verkürzt,,x,,,,,,,,,,,,,,materiell,Person,verfasst,NULL,NULL,unbekannt [Tochter ?],materiell,Artefakte,betreffend,,Wien,Zeichnungen; Verzeichnis,materiell,Organisation,betreffend,,Wien,Schwarzenberg'sches Centralarchiv (Wien),materiell,Organisation,betreffend,,Wien,Sammlung: Leopold Wilhelm; Österreich; Erzherzog,materiell,Person,betreffend,1646,NULL,Adolph Berger (Fürstlich Schwarzenberg'scher Centralarchivdirector - Statthalter der Niederlande 1646),immateriell,Forschungsthema,behandelnd,1893,NULL,Thesaurus; Architektur in Gemälden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,VII.K.6.a,Blatt,Blatt: Thesaurus Matierial (Geymüller-Notizen) [Aufschrift Egger] | o. Aufschrift | Royal Institute 1887. Burges,Text,1 Blatt Papier,Schreibfeder,181 x 115 mm,,,,x,,,,,,,,,,,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Organisation,betreffend,,Berlin,Königliche Bibliothek zu Berlin,materiell,Archivquelle,betreffend,,NULL,Handzeichnungen,materiell,Person,betreffend,,NULL,Pöppelmann; Matthäus Daniel,materiell,Person,betreffend,,NULL,Gurlitt; Cornelius,materiell,Piublikation,betreffend,1879,NULL,(unbekannt N° 8) 1879; p. 39,immateriell,Forschungsthema,behandelnd,1893,NULL,Thesaurus; Architektur in Gemälden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,VII.K.6.a,Zeitungsausschnitt,Blatt: Thesaurus Matierial (Geymüller-Notizen) [Aufschrift Egger] | o. Aufschrift | Royal Institute 1887. Burges,Texte; Beschriftung; Markierung (blau),1 Blatt Papier,Druck; Schreibfeder; Bleistift (blau),179 x 280 mm,,Ausschnitt (rechts unten),,x,,,,,,,,,,,,,,materiell,Publikation,wiedergebend,NULL,NULL,Revue des Arts,materiell,Person,betreffend,,Wien,Frimmel; Theodor von,immateriell,Forschungsthema,betreffend,,NULL,"Bilder seltene Künstler ""Quelques Tableuax de maîtres rares""",materiell,Personen,wiedergebend,,NULL,Rubens; Rembrandt; Gerrit Dou; Bartholomeus van der Helst; Savoldo; Bernard van Orley; Peter Pietersz; Corneis Corneisz van Haarlem; Biomaert; Honthorst; Poelenburg; Puylenborch; Vertangen; C. Holsteyn; N. Bergehm; Thomas Wijck; Simon Verelst; Nic. Bertin; Van Dyck; Peeter Thys; Jac. Jordaens; G. Pens; Hans Dürer; Jan Lys; Will. Nieulandt; Ant. Mirou; Johann von Aachen; Pieter Codde; Victor-Honoré Janssens; Joachim Wtewael; Cesar van Everdingen; Juriaen Jacobsen; Abraham de Vries; Paulus Moreelse; B. v. Bossche; Th. v. Thulden; Jacob v. Halen; David Davids(z) de Heem,immateriell,Forschungsthema,behandelnd,1893,NULL,Thesaurus; Architektur in Gemälden,immateriell,Forschungsthema,behandelnd,1893,NULL,Thesaurus; Architektur in Gemälden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,VII.K.6.a,Blatt,Blatt: Thesaurus Matierial (Geymüller-Notizen) [Aufschrift Egger] | o. Aufschrift | Royal Institute 1887. Burges,Text,1 Blatt Papier,Schreibfeder,105 x 68 mm,,,,x,,,,,,,,,,,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Person,betreffend,,Wien,Frimmel; Theodor von,immateriell,Idee,betreffend,,NULL,Thesaurus Ev. Mitarbeiter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,VII.K.6.a,Blatt,Blatt: Thesaurus Matierial (Geymüller-Notizen) [Aufschrift Egger] | o. Aufschrift | Royal Institute 1887. Burges,Text,1 Blatt Papier,Schreibfeder,105 x 68 mm,,,,x,,,,,,,,,,,,,,materiell,Person,verfasst,1894,NULL,Heinrich von Geymüller,materiell,Organisation,betreffend,,Bamberg,Bayerisches Staatsarchiv (Bamberg). Bibliothek,materiell,Person,betreffend,,NULL,Frimmel; Theodor von,materiell,Publikation,zitierend,12.05.1894,NULL,La chronique des arts (= Beilage; Gazette des beaux-arts) (Paris),immateriell,Forschungsthema,behandelnd,1893,NULL,Thesaurus; Architektur in Gemälden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,VII.K.6.a,Blatt,Blatt: Thesaurus Matierial (Geymüller-Notizen) [Aufschrift Egger] | o. Aufschrift | Royal Institute 1887. Burges,Text,1 Blatt Papier,Schreibfeder,105 x 68 mm,,,,x,,,,,,,,,,,,,,materiell,Person,verfasst,1894,NULL,Heinrich von Geymüller,materiell,Artefakte,betreffend,,Bamberg,"Zeichnungen (""mehrere hunderte"")",materiell,Person,betreffend,,Pommersfelden,Arthur von Schönborn-Wiesentheid,materiell,Artefakt,betreffend,,Pommersfelden,Schloss Weißenstein (Weißenstein; Lauterstein),materiell,Organisation,betreffend,,Pommersfelden,Schloss Weissenstein (Pommersfelden). Kunstsammlung Graf von Schönborn,immateriell,Forschungsthema,behandelnd,1893,NULL,Thesaurus; Architektur in Gemälden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,VII.K.6.a,Blatt aus Skizzenbuch,Blatt: Thesaurus Matierial (Geymüller-Notizen) [Aufschrift Egger] | o. Aufschrift | Royal Institute 1887. Burges,Text,1 Blatt Papier,Bleistift (grau),118 x 203 mm,,Abrsskante links,,x,,,,,,,,,,,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Organisation,betreffend,,Paris,Sammlung Destailleur,immateriell,Idee,behandelnd,1550-1580,NULL ,Zeichnungen (N° 76),materiell,Organisation,betreffend,,NULL,Art à l'école (France),immateriell,Forschungsthema,behandelnd,1893,NULL,Thesaurus; Architektur in Gemälden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,VII.K.6.a,Fotografie,Blatt: Thesaurus Matierial (Geymüller-Notizen) [Aufschrift Egger] | o. Aufschrift | Royal Institute 1887. Burges,Abbildung,1 Blatt Papier,Belichtung,176 x 122 mm,,,,x,,,,,,,,,,,,,,materiell ,Archivquelle,abbildend,NULL,Kupferstichkabinett (München),Archivquelle Nr. 34422; Mappe 'Unbekannte Italienische Meister Format III'; Plan Aufriss Palazzo Farnese (1;00 x 0;315 m),materiell,Artefakt,betreffend,,Piacenza ,Palazzo Farnese (Piacenza),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,VII.K.6.a,Blatt aus Skizzenbuch,Blatt: Thesaurus Matierial (Geymüller-Notizen) [Aufschrift Egger] | o. Aufschrift | Royal Institute 1887. Burges,Text; Abbildung,1 Blatt Papier,Schreibfeder; Bleistift (blau),121 x 203 mm,,Abrsskante links,,x,,,,,,,,,,,,,,materiell,Person,verfasst,02./12.02.1893,NULL,Heinrich von Geymüller,materiell,Person,betreffend,,NULL,Bartolo; di Fredi Battilori,materiell,Artefakt,betreffend,1344,NULL,(?) Nr. 54,immateriell,Forschungsthema,betreffend,,Siena,Sienesische Schule,materiell,Archivwquelle,wiedergebend,,Paris,Louvre. Cabinet des Dessins,immateriell,Forschungsthema,behandelnd,1893,NULL,Thesaurus; Architektur in Gemälden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,VII.K.6.a,Blatt aus Skizzenbuch,Blatt: Thesaurus Matierial (Geymüller-Notizen) [Aufschrift Egger] | o. Aufschrift | Royal Institute 1887. Burges,Text; Abbildung,1 Blatt Papier,Schreibfeder; Bleistift (blau),121 x 203 mm,,Abrsskante links,,x,,,,,,,,,,,,,,materiell,Person,verfasst,02./12.02.1893,NULL,Heinrich von Geymüller,materiell,Personen,betreffend,,NULL,Giotto; Giovanni Mossone Piemontaize; Sixtus IV.; Julius II.,materiell,Archivquellen,abbildend,,Paris (Louvre. Cabinet des Dessins),"2 Zeichnungen (gal des 7m) (Nr. 192 ""Giotto""; Nr. 243 ""Hintergrund eine Stadt"")",materiell,Organisation,betreffend,,Paris,Louvre. Cabinet des Dessins,immateriell,Forschungsthema,behandelnd,1893,NULL,Thesaurus; Architektur in Gemälden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,VII.K.6.a,Blatt aus Skizzenbuch,Blatt: Thesaurus Matierial (Geymüller-Notizen) [Aufschrift Egger] | o. Aufschrift | Royal Institute 1887. Burges,Text,1 Blatt Papier,Schreibfeder; Bleistift,124 x 205 mm,,Abrsskante links,,x,,,,,,,,,,,,,,materiell,Person,verfasst,20.12.1893,NULL,Heinrich von Geymüller,materiell,Personen,betreffend,,NULL,Piero della Francesca,materiell,Archivquellen,betreffend,,Karlsruhe,"Zeichnungen (Nr. 188; Nr. 147; Nr. 145; Nr. 153; Nr. 135; Nr. 404 ""P. della Francesca. Keine Architektur""; Nr. 427; Nr. 408 ""Keine Architektur""; Nr. 405 ""Keine Architektur"")",immateriell,Forschungsthema,behandelnd,1893,NULL,Thesaurus; Architektur in Gemälden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,VII.K.6.a,Blatt aus Skizzenbuch,Blatt: Thesaurus Matierial (Geymüller-Notizen) [Aufschrift Egger] | o. Aufschrift | Royal Institute 1887. Burges,Text,1 Blatt Papier,Schreibfeder,124 x 205 mm,,Abrsskante links,,x,,,,,,,,,,,,,,materiell,Person,verfasst,1894,NULL,Heinrich von Geymüller,immateriell,Reise,betreffend,11.01.1894 (Donnerstag),Paris,Reise von Basel nach Paris,materiell,Person,betreffend,,Paris,Polvtsoff,materiell,Artefakt,betreffend,,NULL,5000 frs. (francs),immateriell,Forschungsthema,behandelnd,1894,NULL,Thesaurus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,VII.K.6.a,Blatt,Blatt: Thesaurus Matierial (Geymüller-Notizen) [Aufschrift Egger] | o. Aufschrift | Royal Institute 1887. Burges,Text,1 Blatt Papier,Schreibfeder,107 x 170 mm,,,,x,,,,,,,,,,,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Organisation,betreffend,,Paris,France. Service des Bibliothèques Publiques; Departments Tome XXI (Paris Plon. 1803),materiell,Artefakt,betreffend,,Paris (France. Service des Bibliothèques Publiques),Catalogue général des manuscrits des bibliothèques publiques de France,materiell,Personen,betreffend,,Paris,Leon Germain (Correspondant); Jean Richier; Joseph Richier,materiell,Organisation,betreffend,,Paris (France. Service des Bibliothèques Publiques),Collection Bonnaire [Saint-Bonnet-le-Château (No. 1-40); Tome XII],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,VII.K.6.a,Blatt,Blatt: Thesaurus Matierial (Geymüller-Notizen) [Aufschrift Egger] | o. Aufschrift | Royal Institute 1887. Burges,Text; Abbildung,1 Blatt Papier,Schreibfeder,170 x 108 mm,,Blatt liniert,,x,,,,,,,,,,,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Organisation,betreffend,,Milano,Pinacoteca di Brera (Mailand),materiell,Artefakt,abbildend,1473,Mailand (Pinacoteca di Brera),Malerei (San Giovanni Battista; tavola centrale del Polittico Griffoni; Francesco Del Cossa),materiell,Person,betreffend,,NULL,Del Cossa; Francesco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,VII.K.6.a,Blatt,Blatt: Thesaurus Matierial (Geymüller-Notizen) [Aufschrift Egger] | o. Aufschrift | Royal Institute 1887. Burges,Text,1 Blatt Papier,Bleistift (grau),156 x 99 mm,,,,x,,,,,,,,,,,,,,materiell,Person,verfasst,05.02.1894,NULL,Heinrich von Geymüller,materiell,Organisation,betreffend,,Rom,Biblioteca Vaticana (Rom),materiell,Archivquelle,betreffend,,Rom (Biblioteca Vaticana),Zeichnung (vol. de Dessins XVI S. - XLIV.7.anuen 823),materiell,Person,betreffend,,NULL,Müntz; Jacques Androuet Ducerceau,immateriell,Korrespondenz,behandelnd,,NULL,"Ducerceau: ""Boulongne Lepremier est la plant en [...] du Chasteau""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,VII.K.6.a,Blatt ,Blatt: Thesaurus Matierial (Geymüller-Notizen) [Aufschrift Egger] | o. Aufschrift | Royal Institute 1887. Burges,Text; Abbildung,1 Blatt Papier,Schreibfeder,105 x 66 mm,,,,x,,,,,,,,,,,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Organisation,betreffend,,Milano,Archivio Sola Bsuca (Archivio di Stato di Milano) (Archivio storico civico di Milano e Biblioteca Trivulziana),materiell,Artefakt,betreffend,,Galleria del Palazzo di Pio IV.,Zeichnung ,materiell,Artefakt,betreffend,,Mailand,Architektur; Palazzo di Pio IV. (Mailand) [ehemals in Via Brera; Architekt Vincenzo Seregni; begonnen 1565 und unfertig gelassen; abgerissen 1865],materiell,Publikation,zitiert,,NULL,Beltrami; [?]: Reminiscenze [di storia e d'arte nella cittá di Milano (Flor. 1891–92; 2 Bde.)]; III. p. 80.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,VII.K.6.a,Blatt aus Skizzenbuch,Blatt: Thesaurus Matierial (Geymüller-Notizen) [Aufschrift Egger] | o. Aufschrift | Royal Institute 1887. Burges,Text; Abbildung,1 Blatt Papier,Schreibfeder,110 x 189 mm,,Abrsskante links,,x,,,,,,,,,,,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Publikation,zitiert,,,Fabricius M. P.: Le Kremlin de Moscou. Esquisses et Tableaux; autrefois et aujourd'hui; Moscou: W.G. Gautier; 1883.,materiell,Artefakt,behandelnd,,Moskau (Kreml Moskau),Palais de Terem (Mauerzinnen),materiell,Artefakt,behandelnd,,Moskau (Kreml Moskau),Palais de Terem (rote Terrasse),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,VII.K.6.a,Blatt aus Skizzenbuch,Blatt: Thesaurus Matierial (Geymüller-Notizen) [Aufschrift Egger] | o. Aufschrift | Royal Institute 1887. Burges,Text; Abbildung,1 Blatt Papier,Bleistift (grau),119 x 203 mm,,Abrsskante links,,x,,,,,,,,,,,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Artefakt,betreffend,,Basel,Zeichnungen (Nr. 47 [8x10]; Nr. 146 [Hans Bock; Hoblein 83 u. 84]; Nr. 35 [Albrecht Altdorfer; Loggia innen?]; Nr. 28 [Köln; Schule; ...; 10x25],materiell,Person,betreffend,,NULL,Hans Bock; Holbein ; Albrecht Altdorfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,VII.K.6.a,Blatt aus Skizzenbuch,Blatt: Thesaurus Matierial (Geymüller-Notizen) [Aufschrift Egger] | o. Aufschrift | Royal Institute 1887. Burges,Text; Abbildung,1 Blatt Papier,Bleistift (grau),118 x 205 mm,,Abrsskante links,,x,,,,,,,,,,,,,,materiell,Person,verfasst,1886,Paris,Heinrich von Geymüller,materiell,Artefakt,abbildend,,Paris,Malerei (fol. 86),materiell,Person,betreffend,,Rom,Caravaggio; Albertus (1580 - ?),materiell,Artefakt,behandelnd,,NULL,Initialen (C. F. B. 1601),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,VII.K.6.a,Blatt aus Skizzenbuch,Blatt: Thesaurus Matierial (Geymüller-Notizen) [Aufschrift Egger] | o. Aufschrift | Royal Institute 1887. Burges,Text,1 Blatt Papier,Schreibfeder,120 x 204 mm,,Abrsskante links,,x,,,,,,,,,,,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Publikation,zitiert,,NULL,Publications De La Société Archéologique De Montpellier (N° 14); Montpellier 1844.,materiell,Personen,betreffend,,NULL,Adolphe Ricard; Jules Renouvier,immateriell,Korrespondenz,betreffend,,NULL,"Lied (""chanson des compagnons"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,VII.K.6.a,Blatt aus Skizzenbuch,Blatt: Thesaurus Matierial (Geymüller-Notizen) [Aufschrift Egger] | o. Aufschrift | Royal Institute 1887. Burges,Text,1 Blatt Papier,Bleistift (grau),115 x 204 mm,,Abrsskante links,,x,,,,,,,,,,,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Organisation,betreffend,,London,Soane's Museum,materiell,Artefakte,betreffend,,Soane's Museum (London),Zeichnungen (36; 3),materiell,Personen,betreffend,,NULL,Robert Adam; Louis XVI.; Geogre Dance; William Hogarth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,VII.K.6.a,Blatt aus Skizzenbuch,Blatt: Thesaurus Matierial (Geymüller-Notizen) [Aufschrift Egger] | o. Aufschrift | Royal Institute 1887. Burges,Text; Abbildung,1 Blatt Papier,Bleistift (grau),124 x 204 mm,,Abrsskante links,,x,,,,,,,,,,,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Artefakte,betreffend,,NULL,Zeichnungen (3) (Hd 187) (7) (Hd 193),immateriell,Forschungsthema,betreffend,,NULL,Stilphase (Barock),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,VII.K.6.a,Blatt aus Skizzenbuch,Blatt: Thesaurus Matierial (Geymüller-Notizen) [Aufschrift Egger] | o. Aufschrift | Royal Institute 1887. Burges,Text; Abbildung,1 Blatt Papier,Bleistift (grau),124 x 204 mm,,Abrsskante links,,x,,,,,,,,,,,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Artefakte,betreffend,,NULL,Zeichnungen (Hd 201) (R.T.V.) (Hd 100) (Hd 205),materiell,Person,betreffend,,NULL,Louis XVI.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,VII.K.6.a,Blatt aus Skizzenbuch,Blatt: Thesaurus Matierial (Geymüller-Notizen) [Aufschrift Egger] | o. Aufschrift | Royal Institute 1887. Burges,Text,1 Blatt Papier,Schreibfeder,67 x 103 mm,,Abrsskante links,,x,,,,,,,,,,,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Artefakte,betreffend,1877,Stadtmuseum Breslau,Zeichnungen (3 Bände; 'Chamber Alwin Schulz' N° 5),materiell,Organisationen,betreffend,NULL,Nürnberg; Breslau,Germanisches Museum (Nürnberg); Stadtmuseum Breslau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
